Rentrée scolaire;UAI;IPS;Ecart-type de l'IPS
2023;0221509W;91.6;27.4
2023;0221518F;104.7;30.4
2023;0221540E;92.9;29.6
2023;0221568K;96.3;27.6
2023;0221698B;91.7;29.1
2023;0230001B;100.4;30.7
2023;0230005F;102.2;29.6
2023;0230014R;100.4;21.7
2023;0230506A;106.1;34.2
2023;0240001W;98.9;25.1
2023;0240010F;103.0;32.6
2023;0240015L;94.5;27.8
2023;0240045U;97.6;27.1
2023;0240047W;90.3;30.3
2023;0240052B;100.2;31.0
2023;0240117X;96.0;29.2
2023;0240119Z;90.1;30.4
2023;0241043D;113.3;33.2
2023;0241075N;122.0;27.9
2023;0241136E;113.0;28.1
2023;0250003T;79.4;27.0
2023;0250047R;96.9;32.1
2023;0250050U;101.7;29.5
2023;0251063V;120.3;27.0
2023;0251067Z;105.4;29.1
2023;0251069B;96.4;22.1
2023;0251129S;107.3;32.3
2023;0251209D;74.5;26.5
2023;0251373G;93.2;28.6
2023;0251395F;66.2;21.8
2023;0251397H;81.7;31.9
2023;0251590T;109.5;29.9
2023;0260005P;114.0;31.9
2023;0260067G;114.9;27.6
2023;0260090G;122.4;27.3
2023;0260099S;103.1;22.7
2023;0260115J;102.0;34.6
2023;0260117L;84.9;35.0
2023;0260789S;94.5;30.6
2023;0260945L;113.2;27.6
2023;0261032F;107.8;37.1
2023;0261091V;81.7;30.9
2023;0261095Z;100.3;37.6
2023;0261137V;125.3;27.7
2023;0270013T;95.9;29.3
2023;0270019Z;93.3;33.1
2023;0270020A;96.2;33.9
2023;0270032N;98.6;29.5
2023;0270043A;94.8;30.9
2023;0271065L;115.0;28.7
2023;0271068P;123.0;30.9
2023;0271096V;99.7;33.4
2023;0271123Z;111.1;35.1
2023;0271172C;106.1;31.8
2023;0271316J;97.7;33.1
2023;0271398Y;87.4;32.4
2023;0271632C;95.1;33.4
2023;0271885C;103.9;30.2
2023;0280005D;93.6;26.7
2023;0280018T;104.8;30.2
2023;0280669A;113.4;28.3
2023;0280867R;94.7;29.6
2023;0280889P;120.1;34.0
2023;0280994D;123.8;32.5
2023;0290031B;109.4;34.0
2023;0290047U;109.3;31.2
2023;0290053A;102.6;28.5
2023;0290107J;101.9;30.0
2023;0290163V;113.2;25.0
2023;0290260A;108.1;28.4
2023;0290288F;112.6;23.3
2023;0290306A;109.2;27.8
2023;0290308C;129.5;27.3
2023;0290331C;110.0;28.7
2023;0290333E;98.2;32.1
2023;0291103S;107.2;29.2
2023;0291104T;96.7;36.3
2023;0291638Y;101.6;27.4
2023;0291639Z;114.0;27.1
2023;0291656T;118.7;28.3
2023;0291713E;115.1;26.5
